Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2022-04-12,2022-04-12,2022-05-11,SUBSCRIPTION,MASTERCARD,1347,,ADYEN,9.99,EUR,1.6,9.99,CHARGE,APPROVED,SETTLED,RO,2022-05-12
2022-04-12,2022-04-12,2022-05-11,SUBSCRIPTION,MASTERCARD,1347,,ADYEN,9.99,EUR,1.6,9.99,CAPTURE,APPROVED,SETTLED,RO,2022-05-12
2022-01-24,,,payment_transaction,CC,1347,,,,EUR,,9.99,SALE,NEW,,RO,
2022-01-24,2022-01-24,2022-02-23,SUBSCRIPTION,MASTERCARD,1347,,ADYEN,9.99,EUR,1.6,9.99,SALE,APPROVED,SETTLED,RO,2022-02-24
2022-01-24,,,payment_transaction,CC,1347,,,,EUR,,9.99,SALE,APPROVED,,RO,
2022-01-24,2022-01-24,2022-02-23,SUBSCRIPTION,MASTERCARD,1347,,ADYEN,9.99,EUR,1.6,9.99,SALE,NEW,SETTLED,RO,2022-02-24
2021-12-24,2021-12-24,2022-01-23,SUBSCRIPTION,MASTERCARD,1347,,ADYEN,9.99,EUR,1.6,9.99,CHARGE,APPROVED,SETTLED,RO,2022-01-24
2021-12-24,2021-12-24,2022-01-23,SUBSCRIPTION,MASTERCARD,1347,,ADYEN,9.99,EUR,1.6,9.99,CAPTURE,APPROVED,SETTLED,RO,2022-01-24
2021-12-24,,,payment_transaction,CC,1347,,,,EUR,,9.99,CHARGE,APPROVED,,RO,
2021-12-24,,,payment_transaction,CC,1347,,,,EUR,,9.99,CAPTURE,APPROVED,,RO,
2021-09-26,2021-09-26,2021-10-25,SUBSCRIPTION,MASTERCARD,1347,,ADYEN,9.99,EUR,1.6,9.99,SALE,NEW,SETTLED,RO,2021-10-26
2021-09-26,2021-09-26,2021-10-25,SUBSCRIPTION,MASTERCARD,1347,,ADYEN,9.99,EUR,1.6,9.99,SALE,APPROVED,SETTLED,RO,2021-10-26
2021-09-26,,,payment_transaction,CC,1347,,,,EUR,,9.99,SALE,APPROVED,,RO,
2021-09-26,,,payment_transaction,CC,1347,,,,EUR,,9.99,SALE,NEW,,RO,
2021-08-26,,,payment_transaction,CC,1347,,,,EUR,,9.99,CHARGE,APPROVED,,RO,
2021-08-26,2021-08-26,2021-09-25,SUBSCRIPTION,MASTERCARD,1347,,ADYEN,9.99,EUR,1.6,9.99,CAPTURE,APPROVED,SETTLED,RO,2021-09-26
2021-08-26,2021-08-26,2021-09-25,SUBSCRIPTION,MASTERCARD,1347,,ADYEN,9.99,EUR,1.6,9.99,CHARGE,APPROVED,SETTLED,RO,2021-09-26
2021-08-26,,,payment_transaction,CC,1347,,,,EUR,,9.99,CAPTURE,APPROVED,,RO,
2021-05-18,2021-05-18,2021-06-17,SUBSCRIPTION,MASTERCARD,1347,,CHECKOUT,9.99,EUR,1.6,9.99,SALE,APPROVED,SETTLED,RO,2021-06-18
