Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Gelu,NFANDROID2-PRV-PHTV19AMT0-PHILITPM191E-21668-6E60E38DCA89CAB8DACABF89CB6987998F83C4AB79EBA9484EB82D82A68A1B19,TPV PHTV19AMT0  Smart TV,2023-01-01T09:53:08.396,2023-01-01T09:57:22.480,,,2023-01-01T09:53:08.396,2023-01-01T09:57:22.480,,,1970-01-01T00:00:00.000
Gelu,NFANDROID1-PRV-P-SAMSUSM-N770F-7176-0E6A03922FBA06996710463A7FCC2C501EBE66497F5835E86CA6DF609801F4C3A,DefaultWidevineAndroidPhone,2021-12-25T02:23:41.155,2022-09-16T22:30:37.096,2021-12-25T02:23:41.155,2022-09-16T22:30:37.096,2021-12-25T02:23:41.155,2022-09-16T22:30:37.096,2021-12-25T02:23:41.155,2022-09-16T22:30:37.096,2022-05-27T11:41:21.107
Gelu,NFANDROID2-PRV-PHTV15AMT2-PHILIQM163E-6465-1386A09BF478BA4AB4618F334AC28D6735D9E04C05F0837FD7CC585C30103F41,Philips PHTV15AMT2 Smart TV,2021-04-18T13:30:01.100,2022-04-14T16:41:48.056,2021-04-18T13:30:01.100,2022-04-14T16:41:48.056,2021-04-18T13:30:01.100,2022-04-14T16:41:48.056,2021-04-18T13:30:01.100,2022-04-14T16:41:48.056,1970-01-01T00:00:00.000
Gelu,NFCDCH-02-HH5L1DG6EMMULLRLPEAM7226CLPWQG,Chrome PC (Cadmium),2021-12-24T10:51:35.406,2021-12-24T10:51:35.406,2021-12-24T10:51:35.406,2021-12-24T10:51:35.406,2021-12-24T10:51:35.406,2021-12-24T10:51:35.406,2021-12-24T10:51:35.406,2021-12-24T10:51:35.406,1970-01-01T00:00:00.000
Ana,LGTV20223=31006203288,LG DTV 2022 RTK K8Lp UHD TV Smart TV,2023-07-29T18:57:59.748,2023-11-23T15:51:10.159,2023-07-29T19:16:39.532,2023-11-23T15:51:10.159,2023-07-29T18:57:59.748,2023-11-23T15:51:10.159,2023-07-29T19:16:39.532,2023-11-23T15:51:10.159,
Ana,NFAPPL-02-IPHONE14=7-12FFA680ED9F59292D907C1FA7B458789E7B17611D7D28DAAB74CC4D5AD891B7,Apple iPhone 14 iPhone,2023-09-02T18:53:18.827,2023-11-23T11:26:52.582,2023-09-02T18:53:49.427,2023-11-23T11:26:52.582,2023-09-02T18:53:18.827,2023-11-23T11:26:52.582,2023-09-02T18:53:49.427,2023-11-23T11:26:52.582,
Ana,LGTV20213=31006373275,LG DTV 2021 RTK K7Lp UHD TV Smart TV,2022-08-23T14:06:07.560,2023-11-21T22:09:54.905,2022-08-23T14:18:54.088,2023-11-21T22:09:54.905,2022-08-24T21:05:58.366,2023-11-21T17:48:31.556,2022-08-24T21:10:48.500,2023-11-21T17:48:31.556,
Bianca,NFANDROID1-PRV-P-L3-SAMSUSM-S906B-22594-D97D7D489FE713E51C455214A39284569F6A1FEDDC76ED8D6725E1B0C9F01F09,Android DefaultWidevineL3Phone Android Phone,2023-11-03T08:54:55.036,2023-11-18T19:25:00.544,2023-11-03T08:56:26.385,2023-11-18T18:52:41.193,2023-11-03T08:54:55.036,2023-11-18T19:25:00.544,2023-11-03T08:56:26.385,2023-11-18T18:52:41.193,
Bianca,LGTV20213=31006373275,LG DTV 2021 RTK K7Lp UHD TV Smart TV,2022-08-23T14:06:07.560,2023-11-21T22:09:54.905,2022-08-23T14:18:54.088,2023-11-21T22:09:54.905,2022-09-01T08:02:50.011,2023-11-06T10:27:55.239,2022-09-01T08:03:40.105,2023-11-06T10:27:55.239,
Bianca,LGTV20223=31006203288,LG DTV 2022 RTK K8Lp UHD TV Smart TV,2023-07-29T18:57:59.748,2023-11-23T15:51:10.159,2023-07-29T19:16:39.532,2023-11-23T15:51:10.159,2023-08-21T19:02:19.812,2023-11-03T11:15:45.980,2023-08-21T19:02:57.088,2023-08-21T19:30:10.904,
Bianca,NFANDROID1-PRV-P-L3-SAMSUSM-S906B-22594-DB2F34D819DE843431DA059728F4667C7AE1307B3592877F018CB2CC3BEE1295,Android DefaultWidevineL3Phone Android Phone,2023-10-05T19:31:24.735,2023-10-16T11:13:36.529,2023-10-05T19:31:24.735,2023-10-16T11:13:36.529,2023-10-05T19:31:24.735,2023-10-16T11:13:36.529,2023-10-05T19:31:24.735,2023-10-16T11:13:36.529,
Ana,NFCDCH-02-H8E3G912HC3YHG8MFF9F5R09HJ88YT,Chrome PC (Cadmium),2021-12-30T16:18:53.864,2023-09-24T16:15:42.928,2021-12-30T16:18:53.864,2023-09-24T16:15:42.928,2021-12-30T16:18:53.864,2023-09-24T16:15:42.928,2021-12-30T16:18:53.864,2023-09-24T16:15:42.928,
Bianca,NFANDROID1-PRV-P-SAMSUSM-S906B-24461-88E68F63C9D518E0AAFEB807EDE96801F0F9D0BB85C9B970598D056764655C28,DefaultWidevineAndroidPhone,2023-09-04T10:17:13.460,2023-09-15T06:30:47.635,2023-09-04T10:17:13.460,2023-09-15T06:30:47.635,2023-09-04T10:17:13.460,2023-09-15T06:30:47.635,2023-09-04T10:17:13.460,2023-09-15T06:30:47.635,
Ana,NFAPPL-02-IPHONE14=7-550B80EEA574D3356B8E5DF18C73AD63F4A96D6651017AE086C556B8D04E661A,Apple iPhone 14 iPhone,2023-08-29T21:02:34.564,2023-08-29T22:50:00.808,2023-08-29T21:02:34.564,2023-08-29T22:50:00.808,2023-08-29T21:02:34.564,2023-08-29T22:50:00.808,2023-08-29T21:02:34.564,2023-08-29T22:50:00.808,
Ana,NFANDROID1-PRV-P-MOTORMOTO=G73=5G-26936-2DC85D9F8750363AD8D925DA25626562B22A1A20E0893D30642C1E786AA80217,DefaultWidevineAndroidPhone,2023-08-01T17:24:25.543,2023-08-26T19:24:54.497,2023-08-01T17:24:25.543,2023-08-26T19:24:54.497,2023-08-01T17:24:25.543,2023-08-26T19:24:54.497,2023-08-01T17:24:25.543,2023-08-26T19:24:54.497,
Bianca,NFANDROID1-PRV-P-L3-SAMSUSM-G960F-22585-9BCEC692066A53B270D956636D77E347CDA5398BA61FD6F0C98956D5B2C05214,Android DefaultWidevineL3Phone Android Phone,2023-07-10T18:37:46.523,2023-08-21T17:27:08.372,2023-07-10T18:37:46.523,2023-08-21T17:27:08.372,2023-07-10T18:37:46.523,2023-08-21T17:27:08.372,2023-07-10T18:37:46.523,2023-08-21T17:27:08.372,
Ana,NFANDROID1-PRV-P-SAMSUSM-N770F-7176-452BB9EAB337ADFF8828F54163406E3E58FFA7537D0B1FAF07D880DEC54E4C14,DefaultWidevineAndroidPhone,2022-12-26T22:09:57.756,2023-07-22T08:40:29.241,2022-12-26T22:09:57.756,2023-07-22T08:40:29.241,2022-12-26T22:09:57.756,2023-07-22T08:40:29.241,2022-12-26T22:09:57.756,2023-07-22T08:40:29.241,
Ana,NFANDROID2-PRV-PHTV19AMT0-PHILITPM191E-21668-6E60E38DCA89CAB8DACABF89CB6987998F83C4AB79EBA9484EB82D82A68A1B19,TPV PHTV19AMT0  Smart TV,2023-01-01T09:53:08.396,2023-01-01T09:57:22.480,,,2023-01-01T09:53:08.396,2023-01-01T09:57:22.480,,,
Ana,NFANDROID1-PRV-P-SAMSUSM-N770F-7176-0E6A03922FBA06996710463A7FCC2C501EBE66497F5835E86CA6DF609801F4C3A,DefaultWidevineAndroidPhone,2021-12-25T02:23:41.155,2022-09-16T22:30:37.096,2021-12-25T02:23:41.155,2022-09-16T22:30:37.096,2021-12-25T02:23:41.155,2022-09-16T22:30:37.096,2021-12-25T02:23:41.155,2022-09-16T22:30:37.096,
Kids,NFCDCH-02-H8E3G912HC3YHG8MFF9F5R09HJ88YT,Chrome PC (Cadmium),2021-12-30T16:18:53.864,2023-09-24T16:15:42.928,2021-12-30T16:18:53.864,2023-09-24T16:15:42.928,2022-09-10T20:38:08.156,2022-09-10T20:38:08.156,2022-09-10T20:38:08.156,2022-09-10T20:38:08.156,
Bianca,NFANDROID1-PRV-P-SAMSUSM-G960F-7176-0BF9937E67C9463F4B680404E95410A1EF7364578FDC96752F1D72217B41B4EEE,DefaultWidevineAndroidPhone,2021-12-30T05:34:00.783,2022-02-23T10:11:05.088,2021-12-30T05:34:00.783,2022-02-23T10:11:05.088,2021-12-30T05:34:00.783,2022-02-23T10:11:05.088,2021-12-30T05:34:00.783,2022-02-23T10:11:05.088,
