Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Gelu,tvui,episodesSelector,,,2023-11-14 21:08:22
Gelu,tvui,playback,,,2023-11-14 21:08:22
Gelu,tvui,episodesSelector,,,2023-11-14 21:07:38
Gelu,tvui,movieDetails,,,2023-11-14 21:07:38
Gelu,tvui,search,,,2023-11-14 21:07:34
Gelu,tvui,movieDetails,,,2023-11-14 21:07:34
Gelu,tvui,search,,,2023-11-14 21:07:16
Gelu,tvui,browseTitles,,,2023-11-14 21:07:16
Gelu,tvui,profilesGate,,,2023-11-14 21:03:10
Gelu,tvui,browseTitles,,,2023-11-14 21:03:10
Gelu,tvui,profilesGate,,,2023-11-14 21:03:05
Gelu,tvui,browseTitlesGallery,,,2023-11-14 15:48:35
Gelu,tvui,browseTitlesGallery,,,2023-11-14 15:48:35
Gelu,tvui,categoryHub,,,2023-11-14 15:48:35
Gelu,tvui,browseTitlesGallery,,,2023-11-14 15:48:35
Gelu,tvui,browseTitlesGallery,,,2023-11-14 15:48:34
Gelu,tvui,movieDetails,,,2023-11-14 15:48:34
Gelu,tvui,playback,,,2023-11-14 15:48:31
Gelu,tvui,movieDetails,,,2023-11-14 15:48:31
Gelu,tvui,movieDetails,,,2023-11-14 15:47:57
Gelu,tvui,playback,,,2023-11-14 15:47:57
Gelu,tvui,browseTitlesGallery,,,2023-11-14 15:47:42
Gelu,tvui,movieDetails,,,2023-11-14 15:47:42
Gelu,tvui,browseTitlesGallery,,,2023-11-14 15:45:49
Gelu,tvui,categoryHub,,,2023-11-14 15:45:49
Gelu,tvui,categoryHub,,,2023-11-14 15:45:47
Gelu,tvui,browseTitlesGallery,,,2023-11-14 15:45:47
Gelu,tvui,categoryHub,,,2023-11-14 15:38:59
Gelu,tvui,browseTitlesGallery,,,2023-11-14 15:38:59
Gelu,tvui,browseTitlesGallery,,,2023-11-14 15:38:55
Gelu,tvui,browseTitlesGallery,,,2023-11-14 15:38:55
Gelu,tvui,categoryHub,,,2023-11-14 15:38:55
Gelu,tvui,browseTitlesGallery,,,2023-11-14 15:38:55
Gelu,tvui,categoryHub,,,2023-11-14 15:37:04
Gelu,tvui,browseTitlesGallery,,,2023-11-14 15:37:04
Gelu,tvui,browseTitlesGallery,,,2023-11-14 15:35:28
Gelu,tvui,browseTitlesGallery,,,2023-11-14 15:35:28
Gelu,tvui,browseTitlesGallery,,,2023-11-14 15:35:28
Gelu,tvui,categoryHub,,,2023-11-14 15:35:28
Gelu,tvui,categoryHub,,,2023-11-14 15:33:57
Gelu,tvui,browseTitlesGallery,,,2023-11-14 15:33:57
Gelu,tvui,categoryHub,,,2023-11-14 15:33:48
Gelu,tvui,browseTitles,,,2023-11-14 15:33:48
Gelu,tvui,movieDetails,,,2023-11-14 15:33:30
Gelu,tvui,browseTitles,,,2023-11-14 15:33:30
Gelu,tvui,episodesSelector,,,2023-11-14 15:33:27
Gelu,tvui,movieDetails,,,2023-11-14 15:33:27
Gelu,tvui,movieDetails,,,2023-11-14 15:31:34
Gelu,tvui,episodesSelector,,,2023-11-14 15:31:34
Gelu,tvui,browseTitles,,,2023-11-14 15:31:31
Gelu,tvui,movieDetails,,,2023-11-14 15:31:31
Gelu,tvui,movieDetails,,,2023-11-14 15:28:37
Gelu,tvui,browseTitles,,,2023-11-14 15:28:37
Gelu,tvui,browseTitles,,,2023-11-14 15:28:20
Gelu,tvui,movieDetails,,,2023-11-14 15:28:20
Gelu,tvui,browseTitles,,,2023-11-14 15:28:04
Gelu,tvui,profilesGate,,,2023-11-14 15:28:04
Gelu,tvui,profilesGate,,,2023-11-14 15:27:59
Gelu,tvui,browseTitles,,,2023-11-13 04:32:37
Gelu,tvui,profilesGate,,,2023-11-13 04:32:37
Gelu,tvui,movieDetails,,,2023-11-12 22:16:31
Gelu,tvui,browseTitles,,,2023-11-12 22:16:31
Gelu,tvui,postPlay,,,2023-11-12 22:16:28
Gelu,tvui,movieDetails,,,2023-11-12 22:16:28
Gelu,tvui,playback,,,2023-11-12 22:16:23
Gelu,tvui,postPlay,,,2023-11-12 22:16:23
Gelu,tvui,postPlay,,,2023-11-12 21:34:11
Gelu,tvui,playback,,,2023-11-12 21:34:11
Gelu,tvui,playback,,,2023-11-12 21:34:06
Gelu,tvui,postPlay,,,2023-11-12 21:34:06
Gelu,tvui,postPlay,,,2023-11-12 20:50:12
Gelu,tvui,playback,,,2023-11-12 20:50:12
Gelu,tvui,playback,,,2023-11-12 20:50:07
Gelu,tvui,postPlay,,,2023-11-12 20:50:07
Gelu,tvui,movieDetails,,,2023-11-12 20:00:25
Gelu,tvui,playback,,,2023-11-12 20:00:25
Gelu,tvui,browseTitles,,,2023-11-12 20:00:22
Gelu,tvui,movieDetails,,,2023-11-12 20:00:22
Gelu,tvui,browseTitles,,,2023-11-12 19:33:03
