Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Kids,2018-01-02 16:15:24,00:22:20,,Fuller House: Season 1: Mad Max (Episode 5),,Philips PHTV15AMT2 Smart TV,00:26:02,Not latest view,RO (Romania)
Kids,2018-01-02 15:50:19,00:22:49,,Fuller House: Season 1: The Not-So-Great Escape (Episode 4),,Philips PHTV15AMT2 Smart TV,00:23:47,Not latest view,RO (Romania)
Kids,2018-01-02 15:25:13,00:25:03,Autoplayed: user action: None; ,Fuller House: Season 1: Funner House (Episode 3),,Philips PHTV15AMT2 Smart TV,00:26:01,Not latest view,RO (Romania)
Kids,2018-01-02 15:00:15,00:24:53,,Fuller House: Season 1: Moving Day (Episode 2),,Philips PHTV15AMT2 Smart TV,00:25:46,Not latest view,RO (Romania)
Kids,2017-12-23 11:16:09,00:03:38,,"Fuller House: Season 1: Our Very First Show, Again (Episode 1)",,Philips PHTV15AMT2 Smart TV,00:34:37,Not latest view,RO (Romania)
Kids,2017-12-23 11:15:42,00:00:04,,Fuller House: Season 3: Best Summer Ever (Episode 1),,Philips PHTV15AMT2 Smart TV,00:00:04,Not latest view,RO (Romania)
Kids,2017-12-23 11:14:20,00:00:35,,Full House: Season 1: Our Very First Show (Episode 1),,Philips PHTV15AMT2 Smart TV,00:01:37,Not latest view,RO (Romania)
Kids,2017-12-23 11:12:47,00:00:21,,Trolls Holiday Special,,Philips PHTV15AMT2 Smart TV,00:18:34,00:18:34,RO (Romania)
Kids,2017-12-23 11:11:17,00:00:08,Autoplayed: user action: None; ,Barbie Life in the Dreamhouse: Season 1: Best of Family (Episode 4),,Philips PHTV15AMT2 Smart TV,00:00:20,00:00:20,RO (Romania)
Kids,2017-12-23 10:56:42,00:14:30,,Barbie Life in the Dreamhouse: Season 1: Best of Friends (Episode 3),,Philips PHTV15AMT2 Smart TV,00:24:10,00:24:10,RO (Romania)
Kids,2017-12-22 18:04:58,00:03:14,,Barbie Life in the Dreamhouse: Season 1: Best of Friends (Episode 3),,Philips PHTV15AMT2 Smart TV,00:09:42,Not latest view,RO (Romania)
Kids,2017-09-10 06:27:40,00:25:51,,"Fuller House: Season 1: Our Very First Show, Again (Episode 1)",,Philips PHTV15AMT2 Smart TV,00:31:01,Not latest view,RO (Romania)
Kids,2017-08-27 06:43:04,00:05:11,,"Fuller House: Season 1: Our Very First Show, Again (Episode 1)",,Philips PHTV15AMT2 Smart TV,00:05:11,Not latest view,RO (Romania)
Kids,2017-08-27 06:40:29,00:00:22,,The Worst Witch: Season 1: Selection Day (Episode 1),,Philips PHTV15AMT2 Smart TV,00:02:03,00:02:03,RO (Romania)
Kids,2017-08-23 09:20:14,00:16:04,,Ever After High: Welcome to Ever After High: Legacy Day (Episode 1),,Philips PHTV15AMT2 Smart TV,00:22:56,00:22:56,RO (Romania)
Kids,2017-08-04 12:54:27,00:02:50,,Mako Mermaids: An H2O Adventure: Season 2: The Seventh Cycle (Episode 1),,Philips PHTV15AMT2 Smart TV,00:09:42,00:09:42,RO (Romania)
Kids,2017-08-04 12:51:01,00:02:28,,Mako Mermaids: An H2O Adventure: Season 1: Decision Time (Episode 26),,Philips PHTV15AMT2 Smart TV,00:24:21,00:24:21,RO (Romania)
Kids,2017-08-04 12:41:15,00:08:47,,Mako Mermaids: An H2O Adventure: Season 1: Battlelines (Episode 14),,Philips PHTV15AMT2 Smart TV,00:21:43,00:21:43,RO (Romania)
Kids,2017-08-04 12:39:56,00:00:11,,Mako Mermaids: An H2O Adventure: Season 1: Betrayal (Episode 13),,Philips PHTV15AMT2 Smart TV,00:24:23,00:24:23,RO (Romania)
Kids,2017-08-04 12:17:45,00:21:51,,Mako Mermaids: An H2O Adventure: Season 1: Close Call (Episode 12),,Philips PHTV15AMT2 Smart TV,00:22:59,00:22:59,RO (Romania)
Kids,2017-08-04 12:16:20,00:00:24,,Mako Mermaids: An H2O Adventure: Season 1: I Don't Believe in Mermaids (Episode 11),,Philips PHTV15AMT2 Smart TV,00:23:10,00:23:10,RO (Romania)
Kids,2017-08-04 12:14:16,00:00:45,,Mako Mermaids: An H2O Adventure: Season 1: Zac Returns to Mako (Episode 10),,Philips PHTV15AMT2 Smart TV,00:23:11,00:23:11,RO (Romania)
Kids,2017-08-04 12:06:51,00:06:09,,Mako Mermaids: An H2O Adventure: Season 1: The Siren (Episode 9),,Philips PHTV15AMT2 Smart TV,00:23:42,00:23:42,RO (Romania)
Kids,2017-08-04 11:59:30,00:05:51,,Mako Mermaids: An H2O Adventure: Season 1: Lyla Alone (Episode 4),,Philips PHTV15AMT2 Smart TV,00:16:25,00:16:25,RO (Romania)
Kids,2017-08-04 11:38:52,00:20:24,,Mako Mermaids: An H2O Adventure: Season 1: Meeting Rita (Episode 3),,Philips PHTV15AMT2 Smart TV,00:22:54,00:22:54,RO (Romania)
Kids,2017-08-04 11:16:12,00:22:37,,Mako Mermaids: An H2O Adventure: Season 1: Getting Legs (Episode 2),,Philips PHTV15AMT2 Smart TV,00:23:27,00:23:27,RO (Romania)
Kids,2017-08-04 10:52:52,00:23:16,,Mako Mermaids: An H2O Adventure: Season 1: Outcasts (Episode 1),,Philips PHTV15AMT2 Smart TV,00:23:16,00:23:16,RO (Romania)
Kids,2017-08-04 10:45:10,00:00:01,,Mako Mermaids: An H2O Adventure: Season 1: Outcasts (Episode 1),,Philips PHTV15AMT2 Smart TV,00:00:01,Not latest view,RO (Romania)
Kids,2017-08-04 10:29:03,00:15:18,,Mako Mermaids: An H2O Adventure: Season 3: The Chosen One (Episode 13),,Philips PHTV15AMT2 Smart TV,00:23:16,00:23:16,RO (Romania)
Kids,2017-06-08 16:46:18,00:00:12,,Ever After High: Way Too Wonderland: Jester's Wild (Episode 2),,Philips PHTV15AMT2 Smart TV,00:02:08,00:02:08,RO (Romania)
Kids,2017-06-08 16:45:16,00:00:08,,Ever After High: Way Too Wonderland: Card Tricks (Episode 1),,Philips PHTV15AMT2 Smart TV,00:16:45,00:16:45,RO (Romania)
Kids,2017-06-07 18:25:27,00:08:58,,Legend of the Guardians: The Owls of Ga'Hoole,,Philips PHTV15AMT2 Smart TV,00:09:52,00:09:52,RO (Romania)
